benchmark,variant,method,failure_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,2,2,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,325,325,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,270,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,empty_prediction,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,264,264,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,1124,1124,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,comparative_reasoning,1,1,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,confident_selection_error,667,667,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,correct,249,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,retrieval_miss,268,268,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,supported_but_wrong,801,801,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,644,644,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,229,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,268,268,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,842,842,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,24,24,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,184,184,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,69,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,empty_prediction,1,1,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,208,208,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,comparative_reasoning,25,25,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,confident_selection_error,231,231,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,correct,63,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,supported_but_wrong,167,167,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,26,26,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,233,233,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,63,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,164,164,0.0,1.0
