benchmark,variant,method,failure_bucket,num_queries,num_failures,accuracy,failure_rate
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,3,3,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,494,494,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,166,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,269,269,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,1054,1054,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,4,4,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,795,795,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,136,0,1.0,0.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,273,273,0.0,1.0
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,778,778,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,comparative_reasoning,29,29,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,confident_selection_error,211,211,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,correct,58,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,supported_but_wrong,188,188,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,comparative_reasoning,29,29,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,confident_selection_error,243,243,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,correct,57,0,1.0,0.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,retrieval_miss,14,14,0.0,1.0
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,supported_but_wrong,157,157,0.0,1.0
